player,co2,km,tournaments,rank,name,ioc,flag,matches
103819,16.084287437774798,56436.096272894014,15.0,1,Roger Federer,SUI,🇨🇭,73
104745,24.11411565335521,84610.93211703582,17.0,2,Rafael Nadal,ESP,🇪🇸,82
104925,24.36026741653739,85474.6225141663,22.0,3,Novak Djokovic,SRB,🇷🇸,97
104918,22.851094663554363,80179.27952124337,18.0,4,Andy Murray,GBR,🇬🇧,78
105223,20.162442509161377,70745.41231284694,19.0,5,Juan Martin del Potro,ARG,🇦🇷,71
103786,16.93988811712636,59438.20391974159,23.0,6,Nikolay Davydenko,RUS,🇷🇺,76
104053,19.398873215763945,68066.22180969805,16.0,7,Andy Roddick,USA,🇺🇸,64
104417,22.380108673931705,78526.69710151476,24.0,8,Robin Soderling,SWE,🇸🇪,72
104269,21.165794465490052,74265.94549294752,23.0,9,Fernando Verdasco,ESP,🇪🇸,77
104542,27.376348089375124,96057.36171710568,24.0,10,Jo-Wilfried Tsonga,FRA,🇫🇷,75
103602,21.813449533671815,76538.41941639235,17.0,11,Fernando Gonzalez,CHI,🇨🇱,55
103285,19.102774251396017,67027.27807507374,21.0,12,Radek Stepanek,CZE,🇨🇿,68
104792,28.214769409970742,98999.19091217803,20.0,13,Gael Monfils,FRA,🇫🇷,62
105227,26.59606504870908,93319.52648669852,22.0,14,Marin Cilic,CRO,🇭🇷,69
104468,28.610002472670633,100385.97358831798,26.0,15,Gilles Simon,FRA,🇫🇷,74
103990,23.796831148807417,83497.65315371024,26.0,16,Tommy Robredo,ESP,🇪🇸,71
103970,28.75204174456424,100884.356998471,24.0,17,David Ferrer,ESP,🇪🇸,70
103163,21.967886703875735,77080.30422412539,19.0,18,Tommy Haas,GER,🇩🇪,49
104022,31.328784728585337,109925.56045117664,28.0,19,Mikhail Youzhny,RUS,🇷🇺,70
104607,26.84369279335493,94188.39576615764,25.0,20,Tomas Berdych,CZE,🇨🇿,62
104527,20.3899968419875,71543.8485683772,19.0,21,Stan Wawrinka,SUI,🇨🇭,51
103720,20.758626603416925,72837.28632777868,20.0,22,Lleyton Hewitt,AUS,🇦🇺,54
103507,21.31370973979753,74784.9464554299,21.0,23,Juan Carlos Ferrero,ESP,🇪🇸,55
103344,25.15790542411311,88273.35236530917,24.0,24,Ivan Ljubicic,CRO,🇭🇷,55
105023,18.00355326216234,63170.36232337664,24.0,25,Sam Querrey,USA,🇺🇸,64
104597,22.981576574136476,80637.11078644377,25.0,26,Nicolas Almagro,ESP,🇪🇸,54
104259,30.59797950228787,107361.33158697502,27.0,27,Philipp Kohlschreiber,GER,🇩🇪,67
103781,29.10048864001339,102106.97768425752,27.0,28,Jurgen Melzer,AUT,🇦🇹,65
104678,33.52320133205889,117625.2678317856,28.0,29,Viktor Troicki,SRB,🇷🇸,61
104338,23.332712674313193,81869.16727829188,25.0,30,Juan Monaco,ARG,🇦🇷,62
103656,23.23355689433916,81521.25226083913,23.0,31,Albert Montanes,ESP,🇪🇸,46
104871,27.38572304212111,96090.25628814424,29.0,32,Jeremy Chardy,FRA,🇫🇷,63
103908,24.15477003118471,84753.57905678847,29.0,33,Paul Henri Mathieu,FRA,🇫🇷,57
104545,19.795540433008327,69458.03660704679,18.0,34,John Isner,USA,🇺🇸,45
104214,34.57331026674803,121309.86058508082,31.0,35,Igor Andreev,RUS,🇷🇺,60
105064,22.94915983166165,80523.36783039173,18.0,36,Thomaz Bellucci,BRA,🇧🇷,39
103333,27.33306590080517,95905.4943887901,22.0,37,Ivo Karlovic,CRO,🇭🇷,46
104386,20.565207889580876,72158.62417396798,24.0,38,Janko Tipsarevic,SRB,🇷🇸,55
104676,20.371235554811417,71478.01949056638,20.0,39,Andreas Beck,GER,🇩🇪,44
103794,20.261257686867125,71092.1322346215,20.0,40,Benjamin Becker,GER,🇩🇪,33
104198,27.00717046581376,94762.00163443426,28.0,41,Guillermo Garcia Lopez,ESP,🇪🇸,55
104571,23.92075706768143,83932.48093923305,17.0,42,Marcos Baghdatis,CYP,🇨🇾,40
104534,22.349093398546096,78417.87157384594,20.0,43,Dudi Sela,ISR,🇮🇱,40
103484,18.7830738477383,65905.52227276597,18.0,44,James Blake,USA,🇺🇸,45
104547,2.974697191824818,10437.534006402871,5.0,45,Horacio Zeballos,ARG,🇦🇷,10
103898,25.47310876873244,89379.32901309629,28.0,46,Julien Benneteau,FRA,🇫🇷,54
103852,24.638221106585146,86449.89861959699,23.0,47,Feliciano Lopez,ESP,🇪🇸,41
103812,31.274252873880343,109734.2206101065,30.0,48,Victor Hanescu,ROU,🇷🇴,60
104312,25.51779745901692,89536.13143514714,29.0,49,Andreas Seppi,ITA,🇮🇹,55
104655,13.519465580297751,47436.72133437807,15.0,50,Pablo Cuevas,URU,,34
104076,18.085060110380017,63456.35126449127,21.0,51,Jose Acasuso,ARG,🇦🇷,42
104755,24.64381571457082,86469.52882305552,15.0,52,Richard Gasquet,FRA,🇫🇷,38
105095,20.81630348889275,73039.66136453596,18.0,53,Evgeny Korolev,KAZ,🇰🇿,37
104926,22.031814674393907,77304.61289261021,26.0,54,Fabio Fognini,ITA,🇮🇹,46
103888,15.363564828970986,53907.24501393329,18.0,55,Mardy Fish,USA,🇺🇸,39
103843,16.251023886063283,57021.13644232732,11.0,56,Marco Chiudinelli,SUI,🇨🇭,23
103694,5.80837196514016,20380.25250926372,9.0,57,Olivier Rochus,BEL,🇧🇪,23
102967,21.368480428765217,74977.1243114569,25.0,58,Marc Gicquel,FRA,🇫🇷,46
103752,19.88846037664218,69784.07149699009,15.0,59,Simon Greul,GER,🇩🇪,30
104660,24.83931937966542,87155.50659531727,14.0,60,Sergiy Stakhovsky,UKR,🇺🇦,30
104252,11.68278583489963,40992.230999647814,6.0,61,Florian Mayer,GER,🇩🇪,9
103808,21.26874100388274,74627.16141713243,23.0,62,Potito Starace,ITA,🇮🇹,40
103096,21.98962245571461,77156.57002005122,20.0,63,Arnaud Clement,FRA,🇫🇷,34
103900,9.98754253169729,35044.00888314839,9.0,64,David Nalbandian,ARG,🇦🇷,22
