ranking_date,rank,player,points,date,path
20101227,1,104745,12450.0,2010-12-27,"Doha -> Melbourne, Melbourne -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Madrid, Madrid -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Bangkok, Bangkok -> Tokyo, Tokyo -> Shanghai, Shanghai -> London 2"
20101227,2,103819,9145.0,2010-12-27,"Doha -> Melbourne, Melbourne -> Indian Wells, Indian Wells -> Miami, Miami -> Rome, Rome -> Estoril, Estoril -> Madrid, Madrid -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Shanghai, Shanghai -> Stockholm, Stockholm -> Basel, Basel -> Paris, Paris -> London 2"
20101227,3,104925,6240.0,2010-12-27,"Melbourne -> Rotterdam, Rotterdam -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Belgrade, Belgrade -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Beijing, Beijing -> Shanghai, Shanghai -> Basel, Basel -> Paris, Paris -> London 2"
20101227,4,104918,5760.0,2010-12-27,"Melbourne -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Madrid, Madrid -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Los Angeles, Los Angeles -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Beijing, Beijing -> Shanghai, Shanghai -> Valencia, Valencia -> Paris, Paris -> London 2"
20101227,5,104417,5580.0,2010-12-27,"Chennai -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Indian Wells, Indian Wells -> Miami, Miami -> Barcelona, Barcelona -> Rome, Rome -> Madrid, Madrid -> Nice, Nice -> Paris 1, Paris 1 -> London, London -> Bastad, Bastad -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Kuala Lumpur, Kuala Lumpur -> Beijing, Beijing -> Shanghai, Shanghai -> Stockholm, Stockholm -> Valencia, Valencia -> Paris, Paris -> London 2"
20101227,6,104607,3955.0,2010-12-27,"Brisbane -> Sydney, Sydney -> Melbourne, Melbourne -> San Jose, San Jose -> Memphis, Memphis -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Munich, Munich -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> London, London -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Kuala Lumpur, Kuala Lumpur -> Beijing, Beijing -> Shanghai, Shanghai -> Stockholm, Stockholm -> Basel, Basel -> Paris, Paris -> London 2"
20101227,7,103970,3735.0,2010-12-27,"Auckland -> Melbourne, Melbourne -> Johannesburg, Johannesburg -> Buenos Aires, Buenos Aires -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Madrid, Madrid -> Paris 1, Paris 1 -> London, London -> Bastad, Bastad -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Kuala Lumpur, Kuala Lumpur -> Beijing, Beijing -> Shanghai, Shanghai -> Valencia, Valencia -> Paris, Paris -> London 2"
20101227,8,104053,3665.0,2010-12-27,"Brisbane -> Melbourne, Melbourne -> San Jose, San Jose -> Memphis, Memphis -> Indian Wells, Indian Wells -> Miami, Miami -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Atlanta, Atlanta -> Washington, Washington -> Cincinnati, Cincinnati -> New York, New York -> Tokyo, Tokyo -> Shanghai, Shanghai -> Basel, Basel -> Paris, Paris -> London 2"
20101227,9,104269,3240.0,2010-12-27,"Melbourne -> San Jose, San Jose -> Memphis, Memphis -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Madrid, Madrid -> Nice, Nice -> Paris 1, Paris 1 -> London, London -> Bastad, Bastad -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Bangkok, Bangkok -> Beijing, Beijing -> Shanghai, Shanghai -> Valencia, Valencia -> Paris"
20101227,10,104022,2920.0,2010-12-27,"Doha -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Dubai, Dubai -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Munich, Munich -> Madrid, Madrid -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Gstaad, Gstaad -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Kuala Lumpur, Kuala Lumpur -> Beijing, Beijing -> Shanghai, Shanghai -> St. Petersburg, St. Petersburg -> Paris"
20101227,11,103781,2785.0,2010-12-27,"Brisbane -> Auckland, Auckland -> Melbourne, Melbourne -> Zagreb, Zagreb -> Rotterdam, Rotterdam -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Madrid, Madrid -> Paris 1, Paris 1 -> Halle, Halle -> London, London -> Stuttgart, Stuttgart -> Hamburg, Hamburg -> Umag, Umag -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Bangkok, Bangkok -> Tokyo, Tokyo -> Shanghai, Shanghai -> Vienna, Vienna -> Paris"
20101227,12,104792,2560.0,2010-12-27,"Brisbane -> Melbourne, Melbourne -> Johannesburg, Johannesburg -> Rotterdam, Rotterdam -> Marseille, Marseille -> Indian Wells, Indian Wells -> Madrid, Madrid -> Nice, Nice -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Stuttgart, Stuttgart -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Tokyo, Tokyo -> Shanghai, Shanghai -> Montpellier, Montpellier -> Valencia, Valencia -> Paris"
20101227,13,104542,2345.0,2010-12-27,"Melbourne -> Marseille, Marseille -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Madrid, Madrid -> Paris 1, Paris 1 -> London, London -> Tokyo, Tokyo -> Shanghai, Shanghai -> Moscow, Moscow -> Montpellier"
20101227,14,105227,2300.0,2010-12-27,"Chennai -> Melbourne, Melbourne -> Zagreb, Zagreb -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Munich, Munich -> Madrid, Madrid -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Metz, Metz -> Beijing, Beijing -> Shanghai, Shanghai -> Vienna, Vienna -> Basel, Basel -> Paris"
20101227,15,104597,2160.0,2010-12-27,"Auckland -> Melbourne, Melbourne -> Buenos Aires, Buenos Aires -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Munich, Munich -> Madrid, Madrid -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Eastbourne, Eastbourne -> London, London -> Bastad, Bastad -> Hamburg, Hamburg -> Gstaad, Gstaad -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Beijing, Beijing -> Shanghai, Shanghai -> Vienna, Vienna -> Valencia, Valencia -> Paris"
20101227,16,103888,1991.0,2010-12-27,"Brisbane -> Sydney, Sydney -> Melbourne, Melbourne -> Memphis, Memphis -> Delray Beach, Delray Beach -> Indian Wells, Indian Wells -> Miami, Miami -> Madrid, Madrid -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Newport, Newport -> Atlanta, Atlanta -> Washington, Washington -> Cincinnati, Cincinnati -> New York, New York -> Beijing"
20101227,17,103344,1965.0,2010-12-27,"Melbourne -> Zagreb, Zagreb -> Rotterdam, Rotterdam -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Paris 1, Paris 1 -> s Hertogenbosch, s Hertogenbosch -> London, London -> Umag, Umag -> Cincinnati, Cincinnati -> New York, New York -> Metz, Metz -> Beijing, Beijing -> Shanghai, Shanghai -> Stockholm, Stockholm -> Montpellier, Montpellier -> Paris"
20101227,18,105023,1860.0,2010-12-27,"Brisbane -> Sydney, Sydney -> Melbourne, Melbourne -> San Jose, San Jose -> Memphis, Memphis -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Houston, Houston -> Rome, Rome -> Belgrade, Belgrade -> Madrid, Madrid -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> London, London -> Newport, Newport -> Los Angeles, Los Angeles -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Beijing, Beijing -> Shanghai, Shanghai -> Basel, Basel -> Paris"
20101227,19,104545,1850.0,2010-12-27,"Auckland -> Melbourne, Melbourne -> Memphis, Memphis -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Houston, Houston -> Rome, Rome -> Belgrade, Belgrade -> Madrid, Madrid -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> London, London -> Atlanta, Atlanta -> Washington, Washington -> Cincinnati, Cincinnati -> New York, New York -> Beijing, Beijing -> Shanghai, Shanghai -> Montpellier, Montpellier -> Basel, Basel -> Paris"
20101227,20,104571,1785.0,2010-12-27,"Brisbane -> Sydney, Sydney -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Munich, Munich -> Madrid, Madrid -> Nice, Nice -> Paris 1, Paris 1 -> Halle, Halle -> s Hertogenbosch, s Hertogenbosch -> London, London -> Los Angeles, Los Angeles -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New Haven, New Haven -> New York, New York -> Kuala Lumpur, Kuala Lumpur -> Beijing, Beijing -> Shanghai, Shanghai -> Moscow, Moscow -> Vienna"
20101227,21,104527,1755.0,2010-12-27,"Chennai -> Melbourne, Melbourne -> Miami, Miami -> Casablanca, Casablanca -> Monte Carlo, Monte Carlo -> Rome, Rome -> Belgrade, Belgrade -> Madrid, Madrid -> Paris 1, Paris 1 -> London, London -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Shanghai, Shanghai -> Stockholm, Stockholm -> Valencia, Valencia -> Paris"
20101227,22,103786,1655.0,2010-12-27,"Doha -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Dubai, Dubai -> Indian Wells, Indian Wells -> Halle, Halle -> London, London -> Stuttgart, Stuttgart -> Hamburg, Hamburg -> Umag, Umag -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Kuala Lumpur, Kuala Lumpur -> Beijing, Beijing -> Shanghai, Shanghai -> Moscow, Moscow -> Montpellier, Montpellier -> Valencia, Valencia -> Paris"
20101227,23,103566,1575.0,2010-12-27,"Brisbane -> Sydney, Sydney -> Melbourne, Melbourne -> Rotterdam, Rotterdam -> Marseille, Marseille -> Dubai, Dubai -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Rome, Rome -> Paris 1, Paris 1 -> Queen's Club, Queen's Club -> Eastbourne, Eastbourne -> London, London -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Tokyo, Tokyo -> Shanghai, Shanghai -> Montpellier, Montpellier -> Basel, Basel -> Paris"
20101227,24,105208,1505.0,2010-12-27,"Doha -> Melbourne, Melbourne -> San Jose, San Jose -> Memphis, Memphis -> Delray Beach, Delray Beach -> Indian Wells, Indian Wells -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Madrid, Madrid -> Paris 1, Paris 1 -> Los Angeles, Los Angeles -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Bangkok, Bangkok -> Tokyo, Tokyo -> Shanghai, Shanghai -> Basel, Basel -> Paris"
20101227,25,103656,1495.0,2010-12-27,"Doha -> Auckland, Auckland -> Melbourne, Melbourne -> Costa Do Sauipe, Costa Do Sauipe -> Buenos Aires, Buenos Aires -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Estoril, Estoril -> Madrid, Madrid -> Nice, Nice -> Paris 1, Paris 1 -> London, London -> Stuttgart, Stuttgart -> Hamburg, Hamburg -> Gstaad, Gstaad -> New York, New York -> Bucharest, Bucharest -> Beijing, Beijing -> Shanghai, Shanghai -> Montpellier, Montpellier -> Valencia, Valencia -> Paris"
20101227,26,104338,1480.0,2010-12-27,"Auckland -> Melbourne, Melbourne -> Santiago, Santiago -> Buenos Aires, Buenos Aires -> Acapulco, Acapulco -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Barcelona, Barcelona -> Rome, Rome -> Madrid, Madrid -> Dusseldorf, Dusseldorf -> Paris 1, Paris 1 -> Cincinnati, Cincinnati -> New York, New York -> Tokyo, Tokyo -> Shanghai, Shanghai -> Valencia, Valencia -> Paris"
20101227,27,103900,1480.0,2010-12-27,"Buenos Aires -> Indian Wells, Indian Wells -> Miami, Miami -> Monte Carlo, Monte Carlo -> Washington, Washington -> Canada, Canada -> Cincinnati, Cincinnati -> New York, New York -> Montpellier, Montpellier -> Basel, Basel -> Paris"
